UPC,Original Description,Expanded Description
660204010566,"COAT RAINY DAY YL LG","COAT RAINY DAY YL Large"
660204026284,"PJS UNICORN PK SM","PJS UNICORN Pink Small"
660204030472,"SWTR UNTUCKED PLD LG","Sweater UNTUCKED PLD Large"
660204031844,"HOODIE COSMIC NVY SM","HOODIE COSMIC NVY Small"
660204032087,"PJS GRDN GNOMES PK LG","PJS Garden GNOMES Pink Large"
077234302064,"BOOT ALL WTHR RD LG","BOOT ALL WTHR Red Large"
657546800993,"TRT FRRT STC SLMN 1.87OZ","Treat Ferret Stick Salmon 1.87OZ"
077234520581,"TEASR CAT PRANCER 44IN","Teaser CAT PRANCER 44IN"
657546113031,"USA TTHING PUP RING CHKN","USA TTHING Puppy RING Chicken"
015905001908,"KIT BETTA BOW QUICKCLN 1G","KIT BETTA BOW Quick Clean 1G"
015905060530,"FOOD GF GRNLRS 5.8OZ","FOOD GF Granules 5.8OZ"
015905061889,"FOOD SHRMP PLLTS 3.25OZ","FOOD Shrimp PLLTS 3.25OZ"
317163031117,"COND AQCLR 8OZ","Conditioner Aqua Clear 8OZ"
317163080337,"TEST STRP 5-IN-1 4CT","TEST Strip 5-IN-1 4CT"
008479113290,"ROCK DRGN STONE SM 25#","ROCK DRGN STONE Small 25#"
042055215213,"HIK FOOD TRPCL WFR SINK 110GM","Hikari FOOD Tropical WFR SINK 110GM"
042055302401,"HIK FOOD FRZN BLDWRM FP 16OZ","Hikari FOOD FRZN BLDWRM FP 16OZ"
029904300917,"GRVL CUMBERLAND RIVER25#","Gravel CUMBERLAND RIVER25#"
029904700113,"GRVL SNOW WH 25#","Gravel SNOW White 25#"
000945880453,"SFB FOOD FRZN CCHLD CB 100GM","SFB FOOD FRZN Cichlid CB 100GM"
000116043601,"SLI COND PRIME 250ML","Seachem Conditioner PRIME 250ML"
046798290858,"GRVL GLOFSH PK/GN/BL 5#","Gravel GloFish PK/GN/BL 5#"
046798770244,"FOOD SHRMP WFR 3OZ","FOOD Shrimp WFR 3OZ"
071859942643,"SPLMT FDPH JAR MOLTING 11Z","Supplement FDPH JAR MOLTING 11Z"
762177756004,"FOOD PRRT NAT BREEDER 40#","FOOD PRRT Natural BREEDER 40#"
762177840208,"FOOD FRTBLND LG PRRT 2#","FOOD FRTBLND Large PRRT 2#"
039079003001,"RMDY CLLR COMFT ZONE","RMDY Collar Comfort ZONE"
033200022060,"LTTR A/H MULTICAT 20#","Litter A/H MULTICAT 20#"
079441004120,"VAN LTTR LINERS LG 12CT","VAN Litter LINERS Large 12CT"
797801036719,"SPLMT BLADDER-PCRN SFT60CT","Supplement BLADDER-PCRN SFT60CT"
854111004019,"CHW WSHBN PB MD","Chew Wishbone Peanut Butter Medium"
768303705557,"TRT BULLY HIDE STC SM 9CT","Treat Bully HIDE Stick Small 9CT"
034846580105,"DRY WHSM SENS SLMN 30#","Dry Food WHSM SENS Salmon 30#"
035585010489,"TRT EASY PASTE BCN CHS 80Z","Treat EASY PASTE Bacon Cheese 80Z"
035585360584,"TOY SHAKERS LUVS GIRAFFELG","Toy SHAKERS LUVS GIRAFFELG"
035585503059,"TOY BALLSTC GATOR MD/LG","Toy BALLSTC GATOR MD/LG"
035585775159,"TOY AIR SQKR BALL SM 3CT","Toy AIR SQKR Ball Small 3CT"
642863045394,"TRT PILLP TAB CHKN 3.2Z","Treat Pill Pocket TAB Chicken 3.2Z"
642863104732,"TRT DNTL FRSH REG 12OZ","Treat Dental FRSH Regular 12OZ"
642863109294,"TRT PILLP TAB CHS 3.2OZ.","Treat Pill Pocket TAB Cheese 3.2OZ."
642863117732,"TUB S/T CHKN/BF 2OZ","TUB S/T CHKN/BF 2OZ"
642863117824,"TUB S/T CHKN/DUCK 2OZ/8PK","TUB S/T CHKN/DUCK 2OZ/8PK"
642863117848,"TUB S/T CHKN/BF 2OZ/8PK","TUB S/T CHKN/BF 2OZ/8PK"
892383002029,"TRT SMBN CHKN MINI 24CT","Treat SMBN Chicken Mini 24CT"
810833029426,"TRT SMBN SMRT TWISTS 50PK","Treat SMBN SMRT TWISTS 50PK"
784369372441,"TOY WOODY WOODPECKER 11IN","Toy WOODY WOODPECKER 11IN"
784369510836,"TOY TRP LGHT UP BALL 2.5IN","Toy TRP LGHT UP Ball 2.5IN"
079105117814,"CAN ADLT CHKN/RC S/B 3.5OZ","Canidae Adult CHKN/RC S/B 3.5OZ"
079105117838,"CAN ADLT SMMRD BF/POT3.5","Canidae Adult SMMRD BF/POT3.5"
785184011300,"DNTL C-A-B HYDRANT SM 24CT","Dental C-A-B HYDRANT Small 24CT"
785184105160,"CAN STEW CHKN/PMPKN 12OZ","Canidae STEW CHKN/PMPKN 12OZ"
785184421000,"TRT BNE MEATY 9IN","Treat Bone MEATY 9IN"
785184506448,"TRT HOOVES FLLD CHS/BCN","Treat HOOVES FLLD CHS/BCN"
785184506455,"TRT FILLED HOOVES PB","Treat FILLED HOOVES Peanut Butter"
077234053669,"TOY PLUSH SKINNEEEZ RABBIT","Toy PLUSH SKINNEEEZ RABBIT"
077234055014,"TOY PLSH SKIN RCCN","Toy Plush SKIN RCCN"
018214841593,"HLTHY EDBL PUP VARPK PETT","Healthy Edible Puppy VARPK PETT"
748406003323,"CLNG CALM LAV/CHMML 4OZ","CLNG CALM LAV/CHMML 4OZ"
091197710131,"FOOD DUBIA ROACH HI CAL7OZ","FOOD DUBIA ROACH HI CAL7OZ"
091197713019,"FOOD OR CB CRICKET 12OZ","FOOD OR CB CRICKET 12OZ"
091197760440,"FOOD B-B BRD DRGN 7.5OZ","FOOD B-B BRD DRGN 7.5OZ"
784369932355,"BOWL SMART 5IN","BOWL SMART 5IN"
759834054221,"BKGD CLING DESERT 15X36","Background CLING DESERT 15X36"
097612740202,"CLAY EXCAVATOR BURROW 20#","CLAY EXCAVATOR BURROW 20#"
730582211609,"TRT HAZEL LOVELIES 4.2OZ","Treat HAZEL LOVELIES 4.2OZ"
730582211708,"FOOD REGGIE RAT/M MOUSE2#","FOOD REGGIE RAT/M MOUSE2#"
744845402864,"FOOD ESSNTL ADLT RBBT 25#","FOOD ESSNTL Adult Rabbit 25#"
744845403168,"TRT TMTHY MAT LG","Treat TMTHY MAT Large"
744845963150,"TOY APPL STC DANGLY","Toy APPL Stick DANGLY"
071859007083,"KAY TRT ALFALFA CUBES 15OZ","Kaytee Treat ALFALFA CUBES 15OZ"
071859008110,"KAY TRT TMTHY MINI 24OZ","Kaytee Treat TMTHY Mini 24OZ"
071859949314,"BEDNG PINE 3200CI","Bedding PINE 3200CI"
071859999944,"FOOD FDPH MOUSE/RAT 3#","FOOD FDPH MOUSE/RAT 3#"
076711004880,"FEEDING DROPPER SYRINGE","FEEDING DROPPER SYRINGE"
766501003819,"FOOD FRRT PREM DIET 22OZ","FOOD Ferret PREM DIET 22OZ"
